,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
281,Franklin,,33.298014,-85.12243000000002,9144,25124,0,0,1,13,62,18.9293134169336
282,Franklin Springs,,34.281721000000005,-83.14746,9077,19505,0,0,3,11,62,10.986144444662786
283,Funston,,31.205365000000004,-83.877554,22858,21032,0,1,2,14,27,7.952145198453679
284,Garfield,,32.632683,-82.036,1339,25313,0,0,3,9,37,13.223164619962262
285,Gay,,33.121379,-84.58776,1628,31030,0,0,2,25,71,16.924489045268476
286,Geneva,,32.57791,-84.54513,245,15083,0,0,0,9,63,22.917566220390945
287,Gibson,,33.236721,-82.58135,1906,23345,0,0,0,12,47,20.262372205337087
288,Gillsville,,34.29945900000001,-83.65226,4853,24277,0,1,3,29,68,9.358266822796438
289,Girard,,33.032445,-81.63251,782,20893,0,0,1,9,24,19.48981171632376
290,Glennville,,31.945767,-81.93594,12301,23832,0,0,2,10,28,13.76332809017653
291,Glenwood,,32.190739,-82.69115,2783,19120,0,0,1,12,54,18.522415788817188
292,Good Hope,,33.766057,-83.57597,1957,30071,0,0,5,37,82,10.282082171539184
293,Gordon,,32.891499,-83.32748000000002,6213,23844,0,0,4,19,79,14.465505149073401
294,Gough,,33.050487,-81.929165,2024,26652,0,0,1,10,30,16.969325794372264
295,Gracewood,,33.386041,-82.09099599999998,394,16385,0,4,4,8,31,6.911437749455198
296,Grantville,,33.230734000000005,-84.82543000000003,5375,26820,0,1,2,24,67,9.654393268044691
297,Gray,,33.003454999999995,-83.55078,15113,31832,0,0,5,21,81,11.49408773692728
298,Grayson,,33.888829,-83.96848,24416,39645,0,1,10,42,77,5.846595314114264
299,Graysville,,34.975939000000004,-85.1416,0,-666666666,0,1,2,7,44,7.228495277830068
300,Greenville,,33.034761,-84.73593000000002,4116,20864,0,0,1,13,67,10.479343251991303
301,Grovetown,,33.459489000000005,-82.20102,44065,33210,0,1,5,8,34,6.421485217543626
302,Guyton,,32.313816,-81.3908,20297,35947,0,1,1,10,22,5.387565988218863
303,Haddock,,33.053288,-83.43902,1815,32917,0,0,6,19,79,11.511254851375956
304,Hagan,,32.159458,-81.93724,210,19018,1,1,3,13,31,2.30185347982255
305,Hahira,,30.991859,-83.36415,12958,26817,0,1,5,13,25,8.870352109772785
306,Hamilton,,32.722333,-84.95803000000002,6272,30356,0,0,3,6,55,12.943707894899735
307,Hampton,,33.401827000000004,-84.30152,42259,29129,0,0,4,40,79,11.374300408705544
308,Haralson,,33.232156,-84.56854,15245,34839,0,0,4,34,72,13.844825702348489
309,Hardwick,,33.040103,-83.2182,43762,21715,1,1,1,17,79,3.7634724842264067
310,Harlem,,33.423590000000004,-82.31013,8538,24462,0,0,5,8,40,13.022030795644184
311,Harrison,,32.835471000000005,-82.70761,1261,28586,0,0,1,9,50,12.397388221047537
312,Hartsfield,,31.177174,-83.96555,791,32902,0,0,2,11,25,11.532115648625366
313,Hartwell,,34.366948,-82.9201,16009,21124,0,0,2,7,53,13.114226967475838
314,Helen,,34.713441,-83.74189,698,28750,0,0,4,13,60,14.812241927977167
315,Helena,,32.094127,-82.91713,4619,16687,0,0,1,11,49,16.534195148860363
316,Hephzibah,,33.32157,-82.08872,40347,25155,0,0,4,9,30,10.772934782634993
